periodo,localizacao,numero_transacoes,ano,trimestre_num,periodo_ordem,data_trimestre
4.º Trimestre de 2023,19: Centro,641002.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,1D: Oeste e Vale do Tejo,454797.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,1A: Grande Lisboa,2354133.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,1B: Península de Setúbal,657076.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,1C: Alentejo,190819.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,15: Algarve,951330.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,2: Região Autónoma dos Açores,98283.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,20: Região Autónoma dos Açores,98283.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,3: Região Autónoma da Madeira,154096.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,30: Região Autónoma da Madeira,154096.0,2023,4,20234,2023-Q4
3.º Trimestre de 2023,PT: Portugal,7072380.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,1: Continente,6769365.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,11: Norte,1746314.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,19: Centro,644334.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,1D: Oeste e Vale do Tejo,445955.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,1A: Grande Lisboa,2251170.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,1B: Península de Setúbal,634500.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,1C: Alentejo,213410.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,15: Algarve,833681.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,2: Região Autónoma dos Açores,90872.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,20: Região Autónoma dos Açores,90872.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,3: Região Autónoma da Madeira,212142.0,2023,3,20233,2023-Q3
3.º Trimestre de 2023,30: Região Autónoma da Madeira,212142.0,2023,3,20233,2023-Q3
2.º Trimestre de 2023,PT: Portugal,6904628.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,1: Continente,6643328.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,11: Norte,1596465.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,19: Centro,606623.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,1D: Oeste e Vale do Tejo,426883.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,1A: Grande Lisboa,2270896.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,1B: Península de Setúbal,660998.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,1C: Alentejo,192450.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,15: Algarve,889013.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,2: Região Autónoma dos Açores,75346.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,20: Região Autónoma dos Açores,75346.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,3: Região Autónoma da Madeira,185955.0,2023,2,20232,2023-Q2
2.º Trimestre de 2023,30: Região Autónoma da Madeira,185955.0,2023,2,20232,2023-Q2
