
Quadro extraído em 25 de Maio de 2026 (16:50:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (N.º) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;N.º ;
;20: Região Autónoma dos Açores;439;
;3: Região Autónoma da Madeira;556;
;30: Região Autónoma da Madeira;556;
1.º Trimestre de 2017;PT: Portugal;29975;
;1: Continente;28842;
;11: Norte;8716;
;19: Centro;3662;
;1D: Oeste e Vale do Tejo;2187;
;1A: Grande Lisboa;7424;
;1B: Península de Setúbal;2665;
;1C: Alentejo;1116;
;15: Algarve;3071;
;2: Região Autónoma dos Açores;517;
;20: Região Autónoma dos Açores;517;
;3: Região Autónoma da Madeira;616;
;30: Região Autónoma da Madeira;616;
4.º Trimestre de 2016;PT: Portugal;28999;
;1: Continente;28001;
;11: Norte;8333;
;19: Centro;3588;
;1D: Oeste e Vale do Tejo;2003;
;1A: Grande Lisboa;7088;
;1B: Península de Setúbal;2569;
;1C: Alentejo;1199;
;15: Algarve;3221;
;2: Região Autónoma dos Açores;451;
;20: Região Autónoma dos Açores;451;
;3: Região Autónoma da Madeira;547;
;30: Região Autónoma da Madeira;547;
3.º Trimestre de 2016;PT: Portugal;26675;
;1: Continente;25716;
;11: Norte;7952;
;19: Centro;3407;
;1D: Oeste e Vale do Tejo;1854;
;1A: Grande Lisboa;6535;
;1B: Península de Setúbal;2270;
;1C: Alentejo;1032;
;15: Algarve;2666;
;2: Região Autónoma dos Açores;461;
;20: Região Autónoma dos Açores;461;
;3: Região Autónoma da Madeira;499;
;30: Região Autónoma da Madeira;499;
2.º Trimestre de 2016;PT: Portugal;26890;
;1: Continente;25997;
;11: Norte;7580;
;19: Centro;3227;
;1D: Oeste e Vale do Tejo;1932;
;1A: Grande Lisboa;6818;
;1B: Península de Setúbal;2365;
;1C: Alentejo;1098;
;15: Algarve;2976;
;2: Região Autónoma dos Açores;403;
;20: Região Autónoma dos Açores;403;
;3: Região Autónoma da Madeira;489;
;30: Região Autónoma da Madeira;489;
1.º Trimestre de 2016;PT: Portugal;24926;
;1: Continente;24040;
;11: Norte;7328;
;19: Centro;2983;
;1D: Oeste e Vale do Tejo;1698;
;1A: Grande Lisboa;6205;
;1B: Península de Setúbal;2327;
;1C: Alentejo;917;
;15: Algarve;2581;
;2: Região Autónoma dos Açores;364;
;20: Região Autónoma dos Açores;364;
;3: Região Autónoma da Madeira;523;
;30: Região Autónoma da Madeira;523;
4.º Trimestre de 2015;PT: Portugal;25205;
;1: Continente;24304;
;11: Norte;7351;
;19: Centro;3165;
;1D: Oeste e Vale do Tejo;1937;
;1A: Grande Lisboa;5875;
;1B: Península de Setúbal;2276;
;1C: Alentejo;951;
;15: Algarve;2749;
;2: Região Autónoma dos Açores;423;
;20: Região Autónoma dos Açores;423;
;3: Região Autónoma da Madeira;478;
;30: Região Autónoma da Madeira;478;
3.º Trimestre de 2015;PT: Portugal;22928;
;1: Continente;22155;
;11: Norte;6678;
;19: Centro;2940;
;1D: Oeste e Vale do Tejo;1644;
;1A: Grande Lisboa;5495;
;1B: Península de Setúbal;1906;
;1C: Alentejo;898;
;15: Algarve;2594;
;2: Região Autónoma dos Açores;353;
;20: Região Autónoma dos Açores;353;
;3: Região Autónoma da Madeira;420;
;30: Região Autónoma da Madeira;420;
2.º Trimestre de 2015;PT: Portugal;20614;
;1: Continente;19956;
;11: Norte;5995;
;19: Centro;2603;
;1D: Oeste e Vale do Tejo;1528;
;1A: Grande Lisboa;4948;
;1B: Península de Setúbal;1762;
;1C: Alentejo;789;
;15: Algarve;2332;
;2: Região Autónoma dos Açores;273;
;20: Região Autónoma dos Açores;273;
;3: Região Autónoma da Madeira;384;
;30: Região Autónoma da Madeira;384;
1.º Trimestre de 2015;PT: Portugal;21762;
;1: Continente;20858;
;11: Norte;6307;
;19: Centro;2766;
;1D: Oeste e Vale do Tejo;1641;
;1A: Grande Lisboa;4934;
;1B: Península de Setúbal;1781;
;1C: Alentejo;791;
;15: Algarve;2637;
;2: Região Autónoma dos Açores;268;
;20: Região Autónoma dos Açores;268;
;3: Região Autónoma da Madeira;636;
;30: Região Autónoma da Madeira;636;
4.º Trimestre de 2014;PT: Portugal;21015;
;1: Continente;20201;
;11: Norte;6283;
;19: Centro;2847;
;1D: Oeste e Vale do Tejo;1548;
;1A: Grande Lisboa;4881;
;1B: Península de Setúbal;1617;
;1C: Alentejo;857;
;15: Algarve;2167;
;2: Região Autónoma dos Açores;429;
;20: Região Autónoma dos Açores;429;
;3: Região Autónoma da Madeira;385;
;30: Região Autónoma da Madeira;385;
3.º Trimestre de 2014;PT: Portugal;16970;
;1: Continente;16379;
;11: Norte;5029;
;19: Centro;2328;
;1D: Oeste e Vale do Tejo;1274;
;1A: Grande Lisboa;3993;
;1B: Península de Setúbal;1210;
;1C: Alentejo;637;
;15: Algarve;1907;
;2: Região Autónoma dos Açores;261;
;20: Região Autónoma dos Açores;261;
;3: Região Autónoma da Madeira;329;
;30: Região Autónoma da Madeira;329;
2.º Trimestre de 2014;PT: Portugal;16441;
;1: Continente;15880;
;11: Norte;4635;
;19: Centro;2126;
;1D: Oeste e Vale do Tejo;1306;
;1A: Grande Lisboa;3857;
;1B: Península de Setúbal;1420;
;1C: Alentejo;628;
;15: Algarve;1908;
;2: Região Autónoma dos Açores;236;
;20: Região Autónoma dos Açores;236;
;3: Região Autónoma da Madeira;324;
;30: Região Autónoma da Madeira;324;
1.º Trimestre de 2014;PT: Portugal;15413;
;1: Continente;14818;
;11: Norte;4488;
;19: Centro;1856;
;1D: Oeste e Vale do Tejo;1103;
;1A: Grande Lisboa;3754;
;1B: Península de Setúbal;1275;
;1C: Alentejo;636;
;15: Algarve;1706;
;2: Região Autónoma dos Açores;253;
;20: Região Autónoma dos Açores;253;
;3: Região Autónoma da Madeira;342;
;30: Região Autónoma da Madeira;342;
4.º Trimestre de 2013;PT: Portugal;20235;
;1: Continente;19487;
;11: Norte;5710;
;19: Centro;2632;
;1D: Oeste e Vale do Tejo;1647;
;1A: Grande Lisboa;4463;
;1B: Península de Setúbal;1800;
;1C: Alentejo;792;
;15: Algarve;2443;
;2: Região Autónoma dos Açores;344;
;20: Região Autónoma dos Açores;344;
;3: Região Autónoma da Madeira;404;
;30: Região Autónoma da Madeira;404;
3.º Trimestre de 2013;PT: Portugal;16646;
;1: Continente;16026;
;11: Norte;4981;
;19: Centro;2282;
;1D: Oeste e Vale do Tejo;1269;
;1A: Grande Lisboa;3588;
;1B: Península de Setúbal;1411;
;1C: Alentejo;605;
;15: Algarve;1890;
;2: Região Autónoma dos Açores;284;
;20: Região Autónoma dos Açores;284;
;3: Região Autónoma da Madeira;337;
;30: Região Autónoma da Madeira;337;
2.º Trimestre de 2013;PT: Portugal;16010;
;1: Continente;15470;
;11: Norte;4830;
;19: Centro;2194;
;1D: Oeste e Vale do Tejo;1262;
;1A: Grande Lisboa;3572;
;1B: Península de Setúbal;1399;
;1C: Alentejo;653;
;15: Algarve;1560;
;2: Região Autónoma dos Açores;204;
;20: Região Autónoma dos Açores;204;
;3: Região Autónoma da Madeira;336;
;30: Região Autónoma da Madeira;336;
1.º Trimestre de 2013;PT: Portugal;13167;
;1: Continente;12586;
;11: Norte;4102;
;19: Centro;1955;
;1D: Oeste e Vale do Tejo;988;
;1A: Grande Lisboa;2663;
;1B: Península de Setúbal;1149;
;1C: Alentejo;519;
;15: Algarve;1209;
;2: Região Autónoma dos Açores;205;
;20: Região Autónoma dos Açores;205;
;3: Região Autónoma da Madeira;376;
;30: Região Autónoma da Madeira;376;
4.º Trimestre de 2012;PT: Portugal;16489;
;1: Continente;15614;
;11: Norte;4972;
;19: Centro;2326;
;1D: Oeste e Vale do Tejo;1386;
;1A: Grande Lisboa;3252;
;1B: Península de Setúbal;1439;
;1C: Alentejo;663;
;15: Algarve;1576;
;2: Região Autónoma dos Açores;374;
;20: Região Autónoma dos Açores;374;
;3: Região Autónoma da Madeira;501;
;30: Região Autónoma da Madeira;501;
3.º Trimestre de 2012;PT: Portugal;15047;
;1: Continente;14442;
;11: Norte;4971;
;19: Centro;2326;
;1D: Oeste e Vale do Tejo;1181;
;1A: Grande Lisboa;2741;
;1B: Península de Setúbal;1199;
;1C: Alentejo;606;
;15: Algarve;1420;
;2: Região Autónoma dos Açores;207;
;20: Região Autónoma dos Açores;207;
;3: Região Autónoma da Madeira;398;
;30: Região Autónoma da Madeira;398;
2.º Trimestre de 2012;PT: Portugal;15867;
;1: Continente;15341;
;11: Norte;5118;
;19: Centro;2078;
;1D: Oeste e Vale do Tejo;1310;
;1A: Grande Lisboa;3209;
;1B: Península de Setúbal;1330;
;1C: Alentejo;695;
;15: Algarve;1602;
;2: Região Autónoma dos Açores;182;
;20: Região Autónoma dos Açores;182;
;3: Região Autónoma da Madeira;344;
;30: Região Autónoma da Madeira;344;
1.º Trimestre de 2012;PT: Portugal;15182;
;1: Continente;14518;
;11: Norte;4946;
;19: Centro;2091;
;1D: Oeste e Vale do Tejo;1257;
;1A: Grande Lisboa;2993;
;1B: Península de Setúbal;1217;
;1C: Alentejo;556;
;15: Algarve;1457;
;2: Região Autónoma dos Açores;250;
;20: Região Autónoma dos Açores;250;
;3: Região Autónoma da Madeira;413;
;30: Região Autónoma da Madeira;413;
4.º Trimestre de 2011;PT: Portugal;18968;
;1: Continente;18131;
;11: Norte;6218;
;19: Centro;2680;
;1D: Oeste e Vale do Tejo;1388;
;1A: Grande Lisboa;3586;
;1B: Península de Setúbal;1480;
;1C: Alentejo;833;
;15: Algarve;1945;
;2: Região Autónoma dos Açores;311;
;20: Região Autónoma dos Açores;311;
;3: Região Autónoma da Madeira;525;
;30: Região Autónoma da Madeira;525;
3.º Trimestre de 2011;PT: Portugal;17534;
;1: Continente;16816;
;11: Norte;5860;
;19: Centro;2532;
;1D: Oeste e Vale do Tejo;1438;
;1A: Grande Lisboa;3313;
;1B: Península de Setúbal;1371;
;1C: Alentejo;758;
;15: Algarve;1544;
;2: Região Autónoma dos Açores;294;
;20: Região Autónoma dos Açores;294;
;3: Região Autónoma da Madeira;423;
;30: Região Autónoma da Madeira;423;
2.º Trimestre de 2011;PT: Portugal;19606;
;1: Continente;18881;
;11: Norte;5913;
;19: Centro;2784;
;1D: Oeste e Vale do Tejo;1574;
;1A: Grande Lisboa;4492;
;1B: Península de Setúbal;1705;
;1C: Alentejo;769;
;15: Algarve;1644;
;2: Região Autónoma dos Açores;306;
;20: Região Autónoma dos Açores;306;
;3: Região Autónoma da Madeira;419;
;30: Região Autónoma da Madeira;419;
1.º Trimestre de 2011;PT: Portugal;20820;
;1: Continente;19763;
;11: Norte;6250;
;19: Centro;2837;
;1D: Oeste e Vale do Tejo;1530;
;1A: Grande Lisboa;4649;
;1B: Península de Setúbal;1785;
;1C: Alentejo;861;
;15: Algarve;1851;
;2: Região Autónoma dos Açores;507;
;20: Região Autónoma dos Açores;507;
;3: Região Autónoma da Madeira;550;
;30: Região Autónoma da Madeira;550;
