
Quadro extraído em 25 de Maio de 2026 (15:21:40)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (?) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;? (milhares);
;3: Região Autónoma da Madeira;100901;
;30: Região Autónoma da Madeira;100901;
2.º Trimestre de 2019;PT: Portugal;5414806;
;1: Continente;5265657;
;11: Norte;1258564;
;19: Centro;446452;
;1D: Oeste e Vale do Tejo;289496;
;1A: Grande Lisboa;1957655;
;1B: Península de Setúbal;496690;
;1C: Alentejo;132767;
;15: Algarve;684034;
;2: Região Autónoma dos Açores;63818;
;20: Região Autónoma dos Açores;63818;
;3: Região Autónoma da Madeira;85331;
;30: Região Autónoma da Madeira;85331;
1.º Trimestre de 2019;PT: Portugal;5261090;
;1: Continente;5107544;
;11: Norte;1234131;
;19: Centro;420803;
;1D: Oeste e Vale do Tejo;279792;
;1A: Grande Lisboa;1874262;
;1B: Península de Setúbal;499335;
;1C: Alentejo;129703;
;15: Algarve;669517;
;2: Região Autónoma dos Açores;61573;
;20: Região Autónoma dos Açores;61573;
;3: Região Autónoma da Madeira;91973;
;30: Região Autónoma da Madeira;91973;
4.º Trimestre de 2018;PT: Portugal;5414883;
;1: Continente;5245561;
;11: Norte;1334767;
;19: Centro;466425;
;1D: Oeste e Vale do Tejo;300391;
;1A: Grande Lisboa;1872947;
;1B: Península de Setúbal;499762;
;1C: Alentejo;149551;
;15: Algarve;621717;
;2: Região Autónoma dos Açores;73350;
;20: Região Autónoma dos Açores;73350;
;3: Região Autónoma da Madeira;95972;
;30: Região Autónoma da Madeira;95972;
3.º Trimestre de 2018;PT: Portugal;5512302;
;1: Continente;5348537;
;11: Norte;1316688;
;19: Centro;458488;
;1D: Oeste e Vale do Tejo;276282;
;1A: Grande Lisboa;2022279;
;1B: Península de Setúbal;516015;
;1C: Alentejo;149632;
;15: Algarve;609153;
;2: Região Autónoma dos Açores;54434;
;20: Região Autónoma dos Açores;54434;
;3: Região Autónoma da Madeira;109331;
;30: Região Autónoma da Madeira;109331;
2.º Trimestre de 2018;PT: Portugal;5425227;
;1: Continente;5283885;
;11: Norte;1281421;
;19: Centro;437576;
;1D: Oeste e Vale do Tejo;284666;
;1A: Grande Lisboa;2037257;
;1B: Península de Setúbal;435675;
;1C: Alentejo;130397;
;15: Algarve;676893;
;2: Região Autónoma dos Açores;55470;
;20: Região Autónoma dos Açores;55470;
;3: Região Autónoma da Madeira;85872;
;30: Região Autónoma da Madeira;85872;
1.º Trimestre de 2018;PT: Portugal;4755125;
;1: Continente;4618614;
;11: Norte;1139059;
;19: Centro;359009;
;1D: Oeste e Vale do Tejo;242579;
;1A: Grande Lisboa;1779087;
;1B: Península de Setúbal;376626;
;1C: Alentejo;107536;
;15: Algarve;614718;
;2: Região Autónoma dos Açores;47585;
;20: Região Autónoma dos Açores;47585;
;3: Região Autónoma da Madeira;88925;
;30: Região Autónoma da Madeira;88925;
